timestamp,hw.md.RenderBasic.SYSMEM_TRANSACTION_READ,hw.md.RenderBasic.SYSMEM_TRANSACTION_WRITE,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_READ,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_WRITE,hw.raw.RenderBasic.GPU_MEMORY_BYTE_READ,hw.raw.RenderBasic.GPU_TIME,hw.gpu.symbols.GpuTimestampFrequency,hw.raw.RenderBasic.GPU_MEMORY_BYTE_WRITE,hw.gal.d_gpu_busy,hw.gal.d_gti_busy,hw.gal.d_crystal_clock,hw.gal.d_gpu_sq_fifo_full,hw.gal.d_gpu_sq_fifo_stalled,hw.gal.d_gpu_ticks,hw.gal.d_unslice_freq_req,hw.gal.d_slice_freq_req,hw.gal.d_unslice_freq,hw.gal.d_slice_freq,hw.gal.ia_freq,hw.gal.ring_freq,hw.gal.qclk_ratio,hw.gal.qclk_base,hw.gal.gt_perf_limit,hw.gal.gtlimit_prochot,hw.gal.gtlimit_thermal,hw.gal.gtlimit_ratl,hw.gal.gtlimit_vr_thermalert,hw.gal.gtlimit_vr_tdc,hw.gal.gtlimit_other,hw.gal.gtlimit_max_vid,hw.gal.gtlimit_pbm_pl1,hw.gal.gtlimit_pbm_pl2,hw.gal.gtlimit_ineff_op,hw.gal.gtlimit_psys_crit,hw.gal.d_pkg_joules,hw.gal.d_pkg_temp,hw.gal.rc6_res,hw.gal.pg_req,hw.gal.pg_status,hw.gal.ia_pstate_limit,hw.md.RenderBasic.GPU_MEMORY_BYTE_READ_RATE,"hw.md.RenderBasic.GPU_MEMORY_BYTE_WRITE_RATE
"
1972254,0,2639.462244,63.931611,221924.8895,23472.03449,19230920.98,19200000,7291409.418,839794093,113104830,2147483668,606325944,85825450,647002850,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645305168,64,55073,40,2,255,0.000047,0.014559
2081628,0,2633.166932,0,0,0,19230877.54,19200000,0,839794093,113104830,2147483668,606325945,85825450,690751251,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645306320,64,55073,40,2,255,0,0
2190983,0,2633.624434,54.867176,54.867176,4691.143523,19230926.8,19200000,2340.999497,839794093,113104830,2147483668,606325948,85825450,734490778,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645308048,64,55073,40,2,255,0.000009,0.000005
2300350,0,2633.335467,0,0,0,19230846.6,19200000,0,839794093,113104830,2147483668,606325948,85825450,778234929,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645309584,64,55073,40,2,255,0,0
2409761,0,2632.276462,18.279698,18.279698,0,19230927.42,19200000,0,839795048,113105661,2147483668,606342465,85825450,821997475,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645310480,64,55073,40,2,255,0,0
2519081,475.667764,4646.90816,173.801683,447429.5646,6329601.171,19230881.81,19200000,20802844.86,839795048,113105661,2147483668,606342465,85825450,865721857,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645310544,64,55073,40,2,255,0.012639,0.041539
2628349,0,2635.721346,0,0,0,19230900.17,19200000,0,839795048,113105661,2147483668,606342471,85825450,909428760,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645310608,64,55073,40,2,255,0,0
2737703,0,2633.648518,100.590742,100.590742,11119.8493,19230874.04,19200000,5559.924648,839795048,113105661,2147483668,606342472,85825450,953165891,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645310736,64,55073,40,2,255,0.000022,0.000011
2847240,0,2638.3779,0,0,0,19230807.85,19200000,0,839795048,113105661,2147483668,606342473,85825450,996977694,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645310800,64,55073,40,2,255,0,0
2956707,383.677273,4275.261038,173.56829,366356.9843,5117304.759,19230900.64,19200000,17047840.9,839796006,113106493,2147483668,606359065,85825450,1040762755,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645311120,64,55073,40,2,255,0.010218,0.034041
3065775,0,2640.554516,64.180144,64.180144,2778.083398,19230874.32,19200000,2778.083398,839796006,113106493,2147483668,606359070,85825450,1084398064,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645312656,64,55073,40,2,255,0.000006,0.000006
3175122,4938.407089,15107.86761,7837.434955,133593.057,1452294.073,19230925.4,19200000,21022094.8,839807883,113118370,2147483668,606416587,85825450,1153120593,4250,4250,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645321049,65,55073,40,2,255,0.0029,0.041977
3284505,12625.36226,40454.18392,3995.136356,369618.6793,3172119.982,19230876.83,19200000,66122660.74,839808149,113118636,2147483668,606427637,85825450,1448430879,4250,4250,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645397281,67,55073,40,2,255,0.006334,0.132033
3394367,473.321076,3804.773261,100.125612,9293.477271,172998.8531,19230898.76,19200000,17760353.9,839808780,113119267,2147483668,606433169,85825450,1502886143,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645400921,65,55073,40,2,255,0.000345,0.035464
3503606,267486.8866,16193.85018,631.642545,78378.60105,4304076.383,19230934.01,19200000,18474079.77,839816303,113125379,2147483668,606459719,85825450,1546619462,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401177,64,55073,40,2,255,0.008594,0.036889
3613095,9297.737672,5388.669181,228.33344,389390.715,4527294.979,19230872.51,19200000,18670962.38,839816303,113125379,2147483668,606460037,85825450,1590367259,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401177,64,55073,40,2,255,0.00904,0.037282
3722453,0,2633.552186,118.87562,118.87562,8046.965014,19230847.31,19200000,5358.547157,839817112,113126163,2147483668,606460991,85825450,1634107567,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401305,64,55073,40,2,255,0.000016,0.000011
3831824,1033.180642,5979.647256,219.436597,10240.37451,725384.2426,19230920.45,19200000,1824020.993,839818790,113127701,2147483668,606462923,85825450,1677854447,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401305,64,55073,40,2,255,0.001448,0.003642
3941195,1014.894259,6226.513427,246.866171,11831.28983,838842.1062,19230792.44,19200000,1973155.59,839820406,113129209,2147483668,606464869,85825450,1721600681,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401433,64,55073,40,2,255,0.001675,0.00394
4050539,1289.508341,6712.759731,228.636231,26220.00293,1564576.017,19230821.99,19200000,4408783.289,839822398,113130954,2147483668,606483176,85825450,1765335625,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401817,64,55073,40,2,255,0.003124,0.008803
4159777,402.790238,4348.303704,219.703766,377606.6936,4436816.859,19230926.97,19200000,17442108.06,839822398,113130954,2147483668,606483186,85825450,1809027602,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401881,64,55073,40,2,255,0.008859,0.034828
4270072,0,2638.378893,117.865724,117.865724,8042.068997,19230844.55,19200000,5358.357133,839822398,113130954,2147483668,606483195,85825450,1853142511,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401881,64,55073,40,2,255,0.000016,0.000011
4378831,0,2638.862071,110.335696,110.335696,7631.552331,19230803.89,19200000,3815.776166,839822398,113130954,2147483668,606483204,85825450,1896643959,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401945,64,55073,40,2,255,0.000015,0.000008
4488007,0,2637.942405,109.914267,109.914267,7034.51308,19230920.72,19200000,2344.837693,839822398,113130954,2147483668,606483213,85825450,1940312469,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645401945,64,55073,40,2,255,0.000014,0.000005
4597263,457.64077,4558.102072,228.820385,431234.8979,5025023.797,19230852.31,19200000,19898888.85,839823309,113131776,2147483668,606499355,85825450,1984012717,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645402393,64,55073,40,2,255,0.010034,0.039734
4706647,0,2632.926205,109.705259,109.705259,7039.420756,19230920.43,19200000,2340.378849,839823309,113131776,2147483668,606499363,85825450,2027769701,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645402393,64,55073,40,2,255,0.000014,0.000005
4815973,0,2634.323034,36.58782,36.58782,16693.19284,19230878.29,19200000,225353.5298,839823746,113132213,2147483668,606499958,85825450,2071510633,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645402457,64,55073,40,2,255,0.000033,0.00045
4925382,227083.6951,24093.08192,1498.962608,513193.613,33832536.63,19230922.5,19200000,153624409.3,839845732,113152703,2147483668,606767155,85825450,2164667371,4250,4250,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645418089,65,55073,40,2,255,0.067556,0.306755
5034835,26988.75316,65288.29726,13156.33194,2731473.783,206704841.3,19230847.94,19200000,362070167.1,839848898,113154325,2147483668,607145796,85825450,2391838323,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645476744,65,55073,40,2,255,0.412747,0.722979
5144239,1398.486344,8582.867171,511.864283,1172187.489,150706436.7,19230923.92,19200000,101340325.8,839858567,113159500,2147483668,607280205,85825450,2435603067,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645477471,64,55073,40,2,255,0.300928,0.202355
5254424,4310.931615,15492.12688,952.942778,355892.3628,193656250.9,19230884.42,19200000,91960194.22,839863351,113162197,2147483668,607358336,85825450,2479673129,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645477663,64,55073,40,2,255,0.38669,0.183625
5362793,1338.021021,6265.62947,332.198322,95008.72021,16491062.94,19230914.74,19200000,22047910.38,839864278,113162944,2147483668,607360808,85825450,2523014410,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645477663,64,55073,40,2,255,0.032929,0.044025
5472279,0,2639.60689,127.87023,16376.52303,34872.03843,19230851.43,19200000,517792.2291,839865487,113163806,2147483668,607371981,85825450,2566805870,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645477663,64,55073,40,2,255,0.00007,0.001034
5581675,393.067388,4314.600168,182.822041,25723.06117,5244369.081,19230922.52,19200000,7878295.367,839865487,113163806,2147483668,607371981,85825450,2610561969,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645477663,64,55073,40,2,255,0.010472,0.015731
5690874,0,2637.386789,0,0,0,19230881.24,19200000,0,839865643,113163962,2147483668,607372156,85825450,2654240009,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645477727,64,55073,40,2,255,0,0
5800269,0,2632.661456,0,0,7038.712921,19230924.63,19200000,187796.5172,839865643,113163962,2147483668,607372156,85825450,2697995275,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645477727,64,55073,40,2,255,0.000014,0.000375
5909632,0,2633.431782,0,0,0,19230845.9,19200000,0,839865643,113163962,2147483668,607372162,85825450,2741739343,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645479071,64,55073,40,2,255,0,0
6018964,201.221966,3557.970219,137.196795,6850.693301,2433130.282,19230810.74,19200000,3866781.912,839866856,113164832,2147483668,607382772,85825450,2785467557,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480095,64,55073,40,2,255,0.004858,0.007721
6128313,0,2633.768942,45.725155,13269.44005,14083.34781,19230921.18,19200000,427246.7055,839866856,113164832,2147483668,607382773,85825450,2829205021,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480095,64,55073,40,2,255,0.000028,0.000853
