sw.intercept.QueryHW.data.Triggers.FrameNumber,FrameRate,Mean(HWContext),Mean(GPUBusyTicksDelta),Mean(SliceFreq),Mean(UnsliceFreq),Mean(hw.gpu.eu_count),Mean(hw.gpu.eu_threads),Mean(hw.gpu.info.timestamp_freq),Mean(hw.gpu.symbols.GpuTimestampFrequency),Mean(hw.gpu.symbols.XeCoreTotalCount),Mean(GPUTimeDelta),Mean(GPUTicksDelta),Mean(hw.raw.BMG_AMX_20_WW30.cycle_count),Mean(hw.raw.BMG_AMX_20_WW30.GPU_TIME),Mean(hw.md.BMG_AMX_20_WW30.CLIPPER_PRIMITIVE_OUTPUT),Mean(hw.raw.BMG_AMX_20_WW30.GPU_MEMORY_BYTE_READ),Mean(hw.raw.BMG_AMX_20_WW30.GPU_MEMORY_BYTE_WRITE),Mean(hw.md.BMG_AMX_20_WW30.L3_WRITE),Mean(hw.md.BMG_AMX_20_WW30.RASTERIZER_TRANSACTION_OUTPUT),Mean(hw.md.BMG_AMX_20_WW30.RENDER_CACHE_WRITE),Mean(hw.md.BMG_AMX_20_WW30.RT_INSTANCE_NODE_RAY_COUNT),Mean(hw.md.BMG_AMX_20_WW30.RT_INTERNAL_NODE_RAY_COUNT),Mean(hw.md.BMG_AMX_20_WW30.RT_QUAD_TEST_RAY_COUNT),Mean(hw.md.BMG_AMX_20_WW30.RT_TRAVERSAL_STEP_RAY_COUNT),Mean(hw.raw.BMG_AMX_20_WW30.SAMPLER_ACTIVE_CYCLES),Mean(hw.md.BMG_AMX_20_WW30.std.dispatch.tdg_tdc.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.ds.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.geom.ds.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.std.geom.gs_ms_sol.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.hs_task_te.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.sol_cl.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.te_ted.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.ted_te.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vf.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vf.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vf_vs.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vfg_vf.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vs.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.geom.vs.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.std.l3.bank_node.data.evict.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.l3.bank_node.data.rd_return.active.cycles),Mean(hw.md.BMG_AMX_20_WW30.std.lsc.rd),Mean(hw.md.BMG_AMX_20_WW30.std.lsc.wr),Mean(hw.md.BMG_AMX_20_WW30.std.raster.cl.trivial_accept.primitive),Mean(hw.md.BMG_AMX_20_WW30.std.raster.cl.trivial_reject.primitive),Mean(hw.md.BMG_AMX_20_WW30.std.z.rcz.cache.hit),Mean(hw.md.BMG_AMX_20_WW30.std.z.rcz.cache.miss),Mean(hw.md.BMG_AMX_20_WW30.URB_READ),Mean(hw.md.BMG_AMX_20_WW30.URB_WRITE),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_ALU2_ALL),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_CONTROL_ALL),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_FP16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_FP32),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_FP64),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_INT16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_INT32),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_INT64),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_MATH),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_SEND_ALL),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_BF16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_FP16),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_INT2),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_INT4),Mean(hw.md.BMG_AMX_20_WW30.XVE_INST_EXECUTED_XMX_INT8),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_ALL_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_ASYNC_CS_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_CS_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_PS_CYCLES),Mean(hw.raw.BMG_AMX_20_WW30.XVE_THREADS_OCCUPANCY_VS_CYCLES),Mean(ReportReason),Mean(Context),Min(GPUTimestamp),Max(GPUTimestamp)
10,19.329834633,21754.282987,0,0,2800,160,8,19200000,19200000,20,176.38493011,25708.491988,25708.491988,176.38493011,167.08796454,225744.60552,125151.44357,14873.377429,457.08319127,5330.065121,731.38015684,3276.0831913,25.836685987,4033.3000341,99165.328674,114.55369928,0,0,412.13808387,411.78895329,412.13808387,0,0,637.12410501,45.722127514,458.89566996,3.48346403,252.97954313,549.80361405,9823.4602796,34197.254347,113237.821,110392.43744,167.09751108,119.18513467,95.845209683,306.61336516,1575.5086942,2054.6198432,0,84697.472213,3895.4885782,1034138.5673,0,29938.749744,497641.81146,28510.380498,223480.24821,220084.209,0,0,0,0,0,2692245.6655,113418.43334,1787432.2145,717244.54415,21321.815547,29.61097852,990292373.78,41061055479,41061572814
11,8.9085113699,21322.91255,0,0,2800,160,8,19200000,19200000,20,205.36480059,29939.294914,29939.294914,205.36480059,75.02542993,105429.38017,53388.879619,7902.1447128,228.9690816,2826.5314673,348.91822173,1744.3719356,12.629162093,2105.9193194,52669.803147,59.052689352,0,0,214.72392975,214.53658983,214.72392975,0,0,317.9996341,20.493962678,239.82674716,1.8399195024,135.63794365,282.20709843,5193.5014636,17670.587084,60717.189718,59363.015734,75.032199049,64.287596048,51.546286132,164.4791438,802.03329674,1067.2541164,0,43379.714782,2086.1143432,538320.08818,0,15659.532382,250921.75412,14108.413831,116236.36736,116922.29601,0,0,0,0,0,3426887.9393,62460.814124,2989706.4122,335702.29235,11210.587267,16.317782656,530181924.1,41061572816,41062695338
12,20.012367643,22020.253093,0,0,2800,160,8,19200000,19200000,20,176.63202545,25742.870272,25742.870272,176.63202545,145.20820078,228074.91552,128404.49629,15422.50053,443.37787204,5441.2672322,733.28101803,3432.6496995,21.333686815,4187.2644044,101572.63839,113.92930364,0,0,414.08660304,413.72463768,414.08660304,0,0,614.42028986,39.489925769,462.56910569,3.3782255214,261.68999647,545.43054083,10135.288088,34130.609049,116644.1778,114202.96288,145.21880523,123.89254153,100.48780488,318.54718982,1550.397667,2002.1134677,0,83648.196536,4043.7140332,1037754.7172,0,30259.697773,483130.89608,27040.038883,224239.62107,224909.12796,0,0,0,0,0,2720964.7451,119447.7667,1859068.0852,665569.45917,21474.917992,29.593849417,989701694.25,41062695339,41063195030
13,16.657005603,21334.943396,0,0,2800,160,8,19200000,19200000,20,182.69933049,26629.682897,26629.682897,182.69933049,125.25806452,174503.34267,88549.122337,13095.908704,384.24315277,4680.9187462,379.54077906,2577.119294,18.924223981,2975.584297,87695.678637,99.039257456,0,0,358.94187462,358.63024954,358.94187462,0,0,535.90018259,35.463785758,400.55964699,3.0316494218,225.42331102,473.39835666,8622.5276932,29204.573646,100191.80432,98126.036519,125.27297626,107.73463177,87.547169811,280.09281802,1347.356056,1742.7671942,0,72022.100122,3458.8140596,894729.12477,0,25954.623859,415943.99939,23225.605295,193300.54534,193642.53043,0,0,0,0,0,2893490.8317,99525.855143,2177771.3226,551544.48996,18350.846622,26.614120511,886559899.63,41063195032,41063795380
14,19.243647672,21572.499159,0,0,2800,160,8,19200000,19200000,20,174.79112008,25475.619576,25475.619576,174.79112008,166.46451396,221801.91322,124035.48739,14709.042718,454.82912883,5244.868483,339.37975109,2841.370333,20.438950555,3201.1890346,98285.396905,114.40800538,0,0,410.02825429,409.68382106,410.02825429,0,0,635.31214262,45.033972418,456.06189035,3.4907500841,249.26639758,549.22838883,9723.436596,34026.620585,111372.31382,108679.07602,166.47460478,118.12781702,94.360914901,306.53178607,1577.0669358,2053.9630003,0,79961.271779,3822.7763202,1007415.5365,0,28719.611167,461968.47326,26307.732257,216288.02556,216763.94114,0,0,0,0,0,2631575.2913,115092.37571,1793767.146,650801.33434,21474.213253,30.1160444,1007757205.2,41063795382,41064315034
15,16.589938202,21574.29219,0,0,2800,160,8,19200000,19200000,20,184.61776417,26908.61807,26908.61807,184.61776417,128.36569678,178022.4,90423.982848,13163.720368,391.95375191,4748.3222052,24.577029096,1745.7243492,18.305972435,1788.6073507,88375.451455,101.90689127,0,0,369.0575804,368.743951,369.0575804,0,0,550.2517611,34.600918836,411.04379786,3.3488514548,227.00735069,489.89402757,8769.4830015,29553.857274,100510.10934,98990.714242,128.37488515,110.65390505,86.86431853,283.63154671,1392.979173,1805.4238897,0,72750.668913,3504.4704441,902636.07228,0,26240.677489,420413.40184,23401.607963,194970.90597,195619.03798,0,0,0,0,0,2890828.3593,104597.55467,2163660.6028,559227.46585,19475.427871,25.968453292,864218418.86,41064315036,41064917811
16,19.758706674,21702.763865,0,0,2800,160,8,19200000,19200000,20,176.52877572,25727.106383,25727.106383,176.52877572,144.66864318,224263.41123,124911.65957,15089.765609,435.0415068,5285.8486223,735.55912103,3304.9424486,20.525636554,4061.0272061,101005.90199,113.854203,0,0,413.09068713,412.73351936,413.09068713,0,0,614.4066969,39.063480991,460.69724451,3.3794907569,258.96930589,546.16777119,9905.435647,33679.906522,115627.50959,112414.30206,144.68189745,123.77014301,99.83536798,323.26717824,1556.1935821,2008.9452389,0,82961.820021,3960.3135682,1033476.2895,0,29888.644227,480063.02511,26866.906871,222980.88594,222022.75201,0,0,0,0,0,2703237.1155,118950.28183,1837631.6746,671497.91699,21223.137426,29.500523195,986475802.76,41064917813,41065423919
17,16.982772675,21722.265664,0,0,2800,160,8,19200000,19200000,20,184.47149123,26887.243421,26887.243421,184.47149123,131.5858396,178322.76692,88769.924812,13424.189223,394.0820802,4732.6923559,563.1773183,2940.6882832,16.930451128,3520.7960526,90034.484962,104.51347118,0,0,377.16760652,376.84680451,377.16760652,0,0,564.07738095,35.041666667,420.07926065,3.1510025063,231.93045113,502.72807018,8772.7008145,30142.965226,103552.5567,101054.8703,131.59993734,113.35401003,88.994987469,290.24404762,1430.8558897,1865.2590852,0,74303.839599,3573.3612155,919840.8916,0,26856.104637,428765.38221,23841.589912,198930.94737,198949.14474,0,0,0,0,0,2929107.5022,105317.17794,2188843.8105,567273.75627,21029.16416,26.223684211,873055779.57,41065423920,41066012752
18,19.764525444,21984.926897,0,0,2800,160,8,19200000,19200000,20,174.46862069,25427.308621,25427.308621,174.46862069,172.48965517,222239.95586,121570.60414,14791.595517,461.78,5010.2896552,370.1962069,2894.7958621,18.652068966,3283.6441379,99867.496207,119.62034483,0,0,427.57034483,427.21724138,427.57034483,0,0,664.67793103,46.569310345,474.59275862,3.6606896552,256.60068966,575.85517241,9738.2686207,34031.92931,113103.14931,110891.21897,172.51103448,123.88689655,97.822068966,314.80103448,1652.5113793,2152.0510345,0,82421.921724,3922.4844828,1025076.9324,0,29396.58,484553.26862,27201.803448,222030.84138,219760.19103,0,0,0,0,0,2667130.9241,114593.74655,1816113.5455,660764.3031,22651.58,30.197241379,1010579422.4,41066012754,41066518711
19,20.507520108,22082.710098,0,0,2800,160,8,19200000,19200000,20,176.48461817,25721.512125,25721.512125,176.48461817,155.34346725,205791.01556,101871.87839,15414.730366,457.51176258,5209.9862468,901.00832429,3661.6634093,19.278320666,4581.9500543,104119.71372,125.1252262,0,0,447.3698878,446.99927615,447.3698878,0,0,675.4096996,40.560622512,496.99095186,3.5360115816,268.59211003,604.32392327,10098.062251,34469.179515,119613.41006,117150.00398,155.35541079,135.69055375,102.51719146,329.74809989,1713.6630474,2232.7835686,0,85833.204126,4127.2319942,1063084.802,0,30883.15599,495218.99131,27536.091567,230231.87984,229868.54868,0,0,0,0,0,2728148.8161,121528.20051,1890096.8567,637741.93015,23792.065509,30.185667752,1010190102.7,41066518712,41067006338
