Delta_Time,Time,Running GPU Ticks,GT Effective Freq,GPU_Busy,GTI_Busy,GT Unslice Request Freq,GT Slice Request Freq,GT Slice Freq,GT Unslice Freq,CrystalClock,IA Freq,Ring Freq,SA Freq,PKG Reported Power,PKG Reported Temp,GT Temp,GTI Rd BW,GTI Wr BW,GTI Total BW,Perf Limited,GT RC6,PCIe SysFromDev Rd BW,PCIe SysToDev Wr BW,PCIe DevFromSys Rd BW,PCIe DevToSys Wr BW,PCIe Total BW,LoadMarker,TestMarker
0.109411,2.300564,821997475,399.9830547,0.727088684,0.632681357,6666.8,6666.8,0,0,2147483668,5200,0,0,0.499835483,64,NO CALC,0,0,0,0,0,1.1699E-06,1.1699E-06,0,0.000168466,0.000170805,0,0
0.10932,2.409884,865721857,399.9669045,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035732254,64,NO CALC,0.012639,0.041539,0.054178,0,0,1.11233E-05,0.028635492,3.04427E-05,0.000297402,0.02897446,0,0
0.109268,2.519152,909428760,399.9972819,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035749259,64,NO CALC,0,0,0,0,0,0,0,0,0.000168686,0.000168686,0,0
0.109354,2.628506,953165891,399.9591327,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.071442288,64,NO CALC,0.000022,0.000011,0.000033,0,0,6.43781E-06,6.43781E-06,0,0.000168554,0.000181429,0,0
0.109537,2.738043,996977694,399.9726394,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035661466,64,NO CALC,0,0,0,0,0,0,0,0,0.000168856,0.000168856,0,0
0.109467,2.84751,1040762755,399.9841139,0.728999607,0.633118657,6666.8,6666.8,0,0,2147483668,5200,0,0,0.178421351,64,NO CALC,0.010218,0.034041,0.044259,0,0,1.11084E-05,0.023446847,2.45553E-05,0.000273617,0.023756127,0,0
0.109068,2.956578,1084398064,400.0743481,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0.859555507,64,NO CALC,0.000006,0.000006,0.000012,0,0,4.10753E-06,4.10753E-06,0,0.000168995,0.000177211,0,0
0.109347,3.065925,1153120593,628.4811563,9.047839447,9.047839447,70834.75,70834.75,0,0,2147483668,5100,0,0,4.684793057,65,NO CALC,0.0029,0.041977,0.044877,0,0,0.000501596,0.008549956,0.000316058,0.000966904,0.010334513,0,0
0.109383,3.175308,1448430879,2699.782288,0.202570783,0.202570783,70834.75,70834.75,0,0,2147483668,5100,0,0,42.53706729,67,NO CALC,0.006334,0.132033,0.138367,0,0,0.000255689,0.023655595,0.000808023,0.002589068,0.027308375,0,0
0.109862,3.28517,1502886143,495.6696947,0.478439315,0.478439315,6666.8,6666.8,0,0,2147483668,5100,0,0,2.022245806,65,NO CALC,0.000345,0.035464,0.035809,0,0,6.40804E-06,0.000594783,3.02925E-05,0.000243505,0.000874989,0,0
0.109239,3.394409,1546619462,400.3452888,5.736649914,4.660694441,6666.8,6666.8,0,0,2147483668,5200,0,0,0.143034997,64,NO CALC,0.008594,0.036889,0.045483,0,0,4.04251E-05,0.00501623,0.017119161,0.001036406,0.023212223,0,0
0.109489,3.503898,1590367259,399.5633991,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.00904,0.037282,0.046322,0,0,1.46133E-05,0.024921006,0.000595055,0.000344875,0.025875549,0,0
0.109358,3.613256,1634107567,399.9735547,0.61623018,0.59718722,6666.8,6666.8,0,0,2147483668,5200,0,0,0.071439675,64,NO CALC,0.000016,0.000011,0.000027,0,0,7.60804E-06,7.60804E-06,0,0.000168547,0.000183763,0,0
0.109371,3.722627,1677854447,399.9861023,1.278011539,1.171383639,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.001448,0.003642,0.00509,0,0,1.40439E-05,0.000655384,6.61236E-05,0.000382697,0.001118249,0,0
0.109371,3.831998,1721600681,399.9801958,1.230790612,1.148534804,6666.8,6666.8,0,0,2147483668,5200,0,0,0.071431184,64,NO CALC,0.001675,0.00394,0.005615,0,0,1.57994E-05,0.000757203,6.49532E-05,0.000398497,0.001236452,0,0
0.109344,3.941342,1765335625,399.9757097,1.517537313,1.329368781,6666.8,6666.8,0,0,2147483668,5200,0,0,0.214346466,64,NO CALC,0.003124,0.008803,0.011927,0,0,1.46327E-05,0.00167808,8.25285E-05,0.000429617,0.002204858,0,0
0.109238,4.05058,1809027602,399.9704956,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035759077,64,NO CALC,0.008859,0.034828,0.043687,0,0,1.4061E-05,0.024166828,2.57786E-05,0.000278291,0.024484959,0,0
0.110295,4.160875,1853142511,399.9719752,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.000016,0.000011,0.000027,0,0,7.54341E-06,7.54341E-06,0,0.000168856,0.000183943,0,0
0.108759,4.269634,1896643959,399.9802131,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035916568,64,NO CALC,0.000015,0.000008,0.000023,0,0,7.06148E-06,7.06148E-06,0,0.000168887,0.00018301,0,0
0.109176,4.37881,1940312469,399.9826885,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.000014,0.000005,0.000019,0,0,7.03451E-06,7.03451E-06,0,0.000168828,0.000182897,0,0
0.109256,4.488066,1984012717,399.9803031,0.694573296,0.626717068,6666.8,6666.8,0,0,2147483668,5200,0,0,0.250272296,64,NO CALC,0.010034,0.039734,0.049768,0,0,1.46445E-05,0.027599033,2.9289E-05,0.000291719,0.027934686,0,0
0.109384,4.59745,2027769701,400.0309369,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0.000014,0.000005,0.000019,0,0,7.02114E-06,7.02114E-06,0,0.000168507,0.00018255,0,0
0.109326,4.706776,2071510633,400.0963357,0.33296837,0.33296837,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035730293,64,NO CALC,0.000033,0.00045,0.000483,0,0,2.34162E-06,2.34162E-06,0,0.000168597,0.00017328,0,0
0.109409,4.816185,2164667371,851.4540669,16.73933406,15.60033452,70834.75,70834.75,0,0,2147483668,5100,0,0,8.720503455,65,NO CALC,0.067556,0.306755,0.374311,0,0,9.59336E-05,0.032844391,0.014533356,0.001541957,0.049015639,0,0
0.109453,4.925638,2391838323,2075.511425,2.409507277,1.234434872,6666.8,6666.8,0,0,2147483668,5100,0,0,32.70825916,65,NO CALC,0.412747,0.722979,1.135726,0,0,0.000842005,0.174814322,0.00172728,0.004178451,0.181562059,0,0
0.109404,5.035042,2435603067,400.0287375,7.361958429,3.940235275,6666.8,6666.8,0,0,2147483668,5100,0,0,0.405584426,64,NO CALC,0.300928,0.202355,0.503283,0,0,3.27593E-05,0.075019999,8.95031E-05,0.000549303,0.075691565,0,0
0.110185,5.145227,2479673129,399.9642601,3.616710079,2.038935427,6666.8,6666.8,0,0,2147483668,5100,0,0,0.106355221,64,NO CALC,0.38669,0.183625,0.570315,0,0,6.09883E-05,0.022777111,0.0002759,0.000991496,0.024105495,0,0
